,frp
0,108.67553779599754
1,452.53001594461097
2,38.56449300374068
3,41.72330761811736
4,399.3432857590623
5,98.76723480597161
6,53.750610805139175
7,103.35574807114284
8,59.0453175969824
9,39.74074619327865
10,202.9310328082318
11,55.50764424400798
12,92.82393502465463
13,172.67672998112434
14,105.01910210148729
15,11.963923513752494
16,39.09965390121771
17,17.34034160127064
18,164.7283299542812
19,51.61247550135559
20,7.770095364025533
21,16.287433387392962
22,68.1391015044043
23,234.1996168946339
24,140.84622292276882
25,186.4056098648135
26,32.01948109765374
27,1242.9842359240956
28,75.27179953946543
29,262.5631835842624
30,6.517216583167599
31,69.3258757651248
32,125.64123842888654
33,73.85265267160774
34,52.388625973872976
35,116.73881962314047
36,49.29531067388682
37,38.57669095806699
38,38.17413664448915
39,17.453609073847563
40,84.45163687879646
41,82.7199891420532
42,90.85773024322248
43,16.562741334184206
44,106.69081559876544
45,191.5338091482515
46,168.93403340443794
47,286.1247500867817
48,290.3635870221992
49,75.38249478842401
50,94.02494049999132
51,59.618642511013036
52,49.91395970987358
53,7.035953792948103
54,62.29027095480525
55,167.7074468936768
56,6.7530308970767585
57,85.07677399967554
58,108.58012976969295
59,3.4231626813499467
60,41.46183646462623
61,28.43817842366005
62,204.7277226063004
63,23.9309587216538
64,13.175226013122174
65,20.27370723001437
66,35.174764860395285
67,226.83282168224093
68,94.84795983142692
69,154.56330208357966
70,121.48257723970296
71,50.263250770311004
72,6.24189820631705
73,122.35344524180994
74,265.7649161480534
75,162.25273726103384
76,12.724007593326991
77,6.177468968923012
78,40.238003298944946
79,83.17905949498919
80,40.888322917333795
81,13.31925016029567
82,174.47909992176562
83,138.11158467650708
84,99.90926635472809
85,56.35940960207054
86,123.87486276752834
87,12.81166301805062
88,43.04848309131965
89,137.9077375238261
90,104.74283505506291
91,23.40804290368634
92,27.67227860453004
93,68.749889116758
94,89.4865954716534
95,419.2089235884237
96,324.21254862452355
97,154.88394074747887
98,38.985643087031505
99,436.1371989885333
100,13.870005813749874
101,115.09312311849835
102,75.11978281435708
103,38.27176738442037
104,71.6814306940696
105,267.6224635253978
106,55.78155104497233
107,23.40221309694304
108,298.53381052024275
109,76.94951293381958
110,11.233924492866155
111,53.8010969064444
112,246.77709685488264
113,45.9833347904616
114,80.27602461515134
115,4.675239637200274
116,14.43587222059222
117,64.77648025148544
118,49.944980864332734
119,37.80034367363899
120,114.38722221920179
121,89.21254772866003
122,47.726294321510665
123,80.55098396294169
124,34.85343093748014
125,31.020785755765285
126,22.103129868686157
127,110.59195804668997
128,53.38253228544576
129,107.02979248426917
130,171.82243817430512
131,85.1050713591455
132,19.637600523634237
133,12.84264555808014
134,171.81315985709924
135,383.326904318113
136,108.70759905736759
137,195.26735817809057
138,360.1161979740547
139,138.99631075416698
140,97.13031263300554
141,92.53608154333021
142,84.08477134387356
143,471.34723974405796
144,52.71281119840194
145,213.2199568239585
146,22.996530056691622
147,49.14532966315731
148,247.9985741552845
149,62.89775796939111
150,39.923611626000195
151,230.5035033404443
152,135.39469662102687
153,127.05037862312047
154,188.71393240500893
155,99.66641815938162
156,260.9507550878472
157,24.692563898561847
158,213.705693868139
159,66.05322382967499
160,69.65560861707966
161,1.6876674609609772
162,450.0870086822723
163,433.9737958573191
164,97.32324089783936
165,565.6973253572268
166,42.79598741719525
167,16.416725344019955
168,3.7299920749584707
169,40.898468688223076
170,5.388661184651983
171,6.565991899918185
172,41.092195212215785
173,64.82811442574699
174,511.93281057484404
175,154.61400269959339
176,444.44804449064526
177,20.923031724118157
178,151.26505718567677
179,21.92965874216544
180,166.8265659643977
181,10.574264495222184
182,46.214785833878366
183,122.20802949680862
184,549.4334904120437
